Posicao;Clube;Rodada;Vitorias;Empates;Derrotas;Gols;SG;Pts
6;Athletico_PR;19;9;4;6;28:22:00;6;31
10;Atlético_MG;19;7;6;6;22:17;5;27
16;Bahia;19;4;6;9;18:25;-7;18
1;Botafogo;19;15;2;2;35:11:00;24;47
4;Bragantino;19;8;8;3;27:17:00;10;32
13;Corinthians;19;6;6;7;24:25:00;-1;24
19;Coritiba;19;3;5;11;18:36;-18;14
12;Cruzeiro  ;19;6;6;7;19:16;3;24
8;Cuiabá;19;8;4;7;21:21;0;28
5;Flamengo;19;9;5;5;31:24:00;7;32
7;Fluminense;19;9;4;6;25:19:00;6;31
11;Fortaleza;19;7;5;7;21:19;2;26
15;Goiás;19;6;4;9;18:27;-9;22
3;Grêmio;19;10;4;5;32:27:00;5;34
14;Internacional;19;6;6;7;17:23;-6;24
2;Palmeiras;19;9;7;3;34:17:00;17;34
17;Santos;19;4;6;9;19:31;-12;18
9;São Paulo;19;7;6;6;24:19:00;5;27
18;Vasco da Gama;19;4;4;11;15:29;-14;16
20;América_MG;20;2;4;14;20:45;-25;10
6;Athletico_PR;20;9;5;6;29:23:00;6;32
11;Atlético_MG;20;7;6;7;22:18;4;27
16;Bahia;20;5;6;9;22:25;-3;21
1;Botafogo;20;15;3;2;35:11:00;24;48
7;Bragantino;20;8;8;4;27:21:00;6;32
13;Corinthians;20;6;7;7;25:26:00;-1;25
19;Coritiba;20;3;5;12;20:39;-19;14
12;Cruzeiro  ;20;6;7;7;20:17;3;25
10;Cuiabá;20;8;4;8;21:23;-2;28
3;Flamengo;20;10;5;5;34:26:00;8;35
4;Fluminense;20;10;4;6;28:20:00;8;34
8;Fortaleza;20;8;5;7;22:19;3;29
15;Goiás;20;6;5;9;19:28;-9;23
5;Grêmio;20;10;4;6;33:29:00;4;34
14;Internacional;20;6;6;8;17:24;-7;24
2;Palmeiras;20;10;7;3;36:17:00;19;37
17;Santos;20;5;6;9;21:32;-11;21
9;São Paulo;20;7;7;6;24:19:00;5;28
18;Vasco da Gama;20;5;4;11;16:29;-13;19
20;América_MG;21;3;4;14;22:46;-24;13
7;Athletico_PR;21;9;6;6;31:25:00;6;33
9;Atlético_MG;21;8;6;7;24:18:00;6;30
16;Bahia;21;5;6;10;22:28;-6;21
1;Botafogo;21;16;3;2;38:11:00;27;51
6;Bragantino;21;9;8;4;29:21:00;8;35
12;Corinthians;21;6;8;7;26:27:00;-1;26
19;Coritiba;21;3;5;13;21:42;-21;14
13;Cruzeiro  ;21;6;7;8;20:20;0;25
11;Cuiabá;21;8;4;9;21:25;-4;28
4;Flamengo;21;10;6;5;34:26:00;8;36
5;Fluminense;21;10;5;6;30:22:00;8;35
